
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
1362,18bcfe9c-e496-491b-a7ca-fa0412899082.binning_data.json,805080,6000,2,2020-06-11 22:11:25.438,com.sec.android.app.shealth,2020-06-11 22:11:25.438,,1.7222222,1047.46,56.13,1360,zub8fSqg+I,com.sec.android.app.shealth,0,18bcfe9c-e496-491b-a7ca-fa0412899082.achievement.json,18bcfe9c-e496-491b-a7ca-fa0412899082,1591833600000,
2868,310f76c2-8f0a-4a13-81fd-a1589cf7c675.binning_data.json,1664965,6000,0,2020-06-22 22:13:35.477,com.sec.android.app.shealth,2020-06-22 22:13:35.477,,1.5833335,2208.07,116.72,2868,zub8fSqg+I,com.sec.android.app.shealth,0,310f76c2-8f0a-4a13-81fd-a1589cf7c675.achievement.json,310f76c2-8f0a-4a13-81fd-a1589cf7c675,1592784000000,
3722,de8c9d35-f416-42a9-8e14-6a9a1c491cd2.binning_data.json,2444079,6000,0,2020-06-16 20:38:16.163,com.sec.android.app.shealth,2020-06-16 02:44:45.404,de8c9d35-f416-42a9-8e14-6a9a1c491cd2.source_info.json,1.1432526,2794.2,152.56,3722,VfS0qUERdZ,com.sec.android.app.shealth,0,de8c9d35-f416-42a9-8e14-6a9a1c491cd2.achievement.json,de8c9d35-f416-42a9-8e14-6a9a1c491cd2,1592265600000,
227,6ea61b55-f8b9-497d-9c49-dfbe5d91ae19.binning_data.json,136415,6000,0,2020-06-14 21:54:09.981,com.sec.android.app.shealth,2020-06-14 08:15:03.273,6ea61b55-f8b9-497d-9c49-dfbe5d91ae19.source_info.json,1.2725848,173.6,9.38,227,VfS0qUERdZ,com.sec.android.app.shealth,0,6ea61b55-f8b9-497d-9c49-dfbe5d91ae19.achievement.json,6ea61b55-f8b9-497d-9c49-dfbe5d91ae19,1592092800000,
227,989f0c98-ad58-4886-9ab7-a72e1baaf68d.binning_data.json,136409,6000,0,2020-06-14 22:00:00.497,com.sec.android.app.shealth,2020-06-14 22:00:00.497,,1.5277778,173.6,9.38,227,zub8fSqg+I,com.sec.android.app.shealth,0,989f0c98-ad58-4886-9ab7-a72e1baaf68d.achievement.json,989f0c98-ad58-4886-9ab7-a72e1baaf68d,1592092800000,
3016,29f63056-aec1-4db5-963e-11a39b569a6a.binning_data.json,1913563,6000,0,2020-06-24 22:00:00.437,com.sec.android.app.shealth,2020-06-24 22:00:00.437,,1.6388887,2281.1401,123.729996,3016,zub8fSqg+I,com.sec.android.app.shealth,0,29f63056-aec1-4db5-963e-11a39b569a6a.achievement.json,29f63056-aec1-4db5-963e-11a39b569a6a,1592956800000,
2761,245d10c2-7841-4641-90f3-d87f135dd9d7.binning_data.json,1570607,6000,28,2020-06-25 22:00:45.727,com.sec.android.app.shealth,2020-06-25 22:00:45.727,,2.2222223,2124.46,118.08,2733,zub8fSqg+I,com.sec.android.app.shealth,0,245d10c2-7841-4641-90f3-d87f135dd9d7.achievement.json,245d10c2-7841-4641-90f3-d87f135dd9d7,1593043200000,
2237,8be35ac7-4388-4174-bf14-91c510c09d1e.binning_data.json,1473884,6000,0,2020-06-17 22:50:24.667,com.sec.android.app.shealth,2020-06-17 22:50:24.667,,1.8333335,1680.84,92.38,2237,zub8fSqg+I,com.sec.android.app.shealth,0,8be35ac7-4388-4174-bf14-91c510c09d1e.achievement.json,8be35ac7-4388-4174-bf14-91c510c09d1e,1592352000000,
379,39803318-6e46-49e2-a6f9-e45a9527ba12.binning_data.json,240735,6000,0,2020-06-18 21:20:47.825,com.sec.android.app.shealth,2020-06-18 09:36:40.677,39803318-6e46-49e2-a6f9-e45a9527ba12.source_info.json,1.1863207,285.59,15.75,379,VfS0qUERdZ,com.sec.android.app.shealth,0,39803318-6e46-49e2-a6f9-e45a9527ba12.achievement.json,39803318-6e46-49e2-a6f9-e45a9527ba12,1592438400000,
4453,cacf060f-a935-4f38-90e7-2af9e4db3ddf.binning_data.json,2662895,6000,8,2020-06-20 22:00:00.540,com.sec.android.app.shealth,2020-06-20 22:00:00.540,,1.6678337,3415.07,181.92,4445,zub8fSqg+I,com.sec.android.app.shealth,0,cacf060f-a935-4f38-90e7-2af9e4db3ddf.achievement.json,cacf060f-a935-4f38-90e7-2af9e4db3ddf,1592611200000,
821,eff56432-7a30-4f17-90a5-3b2445ae5ba6.binning_data.json,458104,6000,0,2020-06-27 22:00:52.701,com.sec.android.app.shealth,2020-06-27 22:00:52.701,,1.7208612,637.9,33.719997,821,zub8fSqg+I,com.sec.android.app.shealth,0,eff56432-7a30-4f17-90a5-3b2445ae5ba6.achievement.json,eff56432-7a30-4f17-90a5-3b2445ae5ba6,1593216000000,
2227,5a891914-58eb-455b-a43e-4e32e5cf0b16.binning_data.json,1301465,6000,23,2020-06-19 17:37:06.616,com.sec.android.app.shealth,2020-06-18 23:22:56.718,5a891914-58eb-455b-a43e-4e32e5cf0b16.source_info.json,1.3250059,1724.45,92.72,2204,VfS0qUERdZ,com.sec.android.app.shealth,0,5a891914-58eb-455b-a43e-4e32e5cf0b16.achievement.json,5a891914-58eb-455b-a43e-4e32e5cf0b16,1592524800000,
54,5985a30c-64a7-4233-9fa8-f4d8e6303d70.binning_data.json,31167,6000,0,2020-06-28 22:00:00.601,com.sec.android.app.shealth,2020-06-28 22:00:00.601,,1.6388887,42.04,2.15,54,zub8fSqg+I,com.sec.android.app.shealth,0,5985a30c-64a7-4233-9fa8-f4d8e6303d70.achievement.json,5985a30c-64a7-4233-9fa8-f4d8e6303d70,1593302400000,
1232,6297a266-7c51-405c-ae95-588c4db5fbbb.binning_data.json,694515,6000,164,2020-06-23 22:00:00.585,com.sec.android.app.shealth,2020-06-23 22:00:00.585,,3.138889,1020.99,60.18,1068,zub8fSqg+I,com.sec.android.app.shealth,0,6297a266-7c51-405c-ae95-588c4db5fbbb.achievement.json,6297a266-7c51-405c-ae95-588c4db5fbbb,1592870400000,
2237,5ecb3b8a-9500-44aa-9dc8-b8e3e55fcb5d.binning_data.json,1473913,6000,0,2020-06-17 18:25:10.434,com.sec.android.app.shealth,2020-06-17 02:58:08.033,5ecb3b8a-9500-44aa-9dc8-b8e3e55fcb5d.source_info.json,1.1403929,1680.84,92.38,2237,VfS0qUERdZ,com.sec.android.app.shealth,0,5ecb3b8a-9500-44aa-9dc8-b8e3e55fcb5d.achievement.json,5ecb3b8a-9500-44aa-9dc8-b8e3e55fcb5d,1592352000000,
2764,28243464-f843-48ce-b7d4-5acc494adbb5.binning_data.json,1697410,6000,0,2020-06-30 22:00:00.579,com.sec.android.app.shealth,2020-06-30 22:00:00.579,,1.7222222,2109.76,114.11,2764,zub8fSqg+I,com.sec.android.app.shealth,0,28243464-f843-48ce-b7d4-5acc494adbb5.achievement.json,28243464-f843-48ce-b7d4-5acc494adbb5,1593475200000,
2769,4ab1ec86-8988-48f9-9e2d-da476f6c36e0.binning_data.json,1500263,6000,0,2020-06-26 20:14:51.854,com.sec.android.app.shealth,2020-06-25 22:00:45.901,4ab1ec86-8988-48f9-9e2d-da476f6c36e0.source_info.json,1.4370937,2156.02,113.84,2769,VfS0qUERdZ,com.sec.android.app.shealth,0,4ab1ec86-8988-48f9-9e2d-da476f6c36e0.achievement.json,4ab1ec86-8988-48f9-9e2d-da476f6c36e0,1593129600000,
6156,24d45023-518b-4dca-a442-9d43306b31d6.binning_data.json,3492449,6000,39,2020-06-21 15:10:00.306,com.sec.android.app.shealth,2020-06-21 09:58:20.939,24d45023-518b-4dca-a442-9d43306b31d6.source_info.json,1.3738954,4798.26,252.73997,6117,VfS0qUERdZ,com.sec.android.app.shealth,0,24d45023-518b-4dca-a442-9d43306b31d6.achievement.json,24d45023-518b-4dca-a442-9d43306b31d6,1592697600000,
1966,3f1944c4-6fc8-49c6-a639-0c8c2c55f8f7.binning_data.json,1119087,6000,1,2020-07-03 22:18:53.491,com.sec.android.app.shealth,2020-07-03 22:18:53.491,,1.9722222,1528.13,80.22,1965,zub8fSqg+I,com.sec.android.app.shealth,0,3f1944c4-6fc8-49c6-a639-0c8c2c55f8f7.achievement.json,3f1944c4-6fc8-49c6-a639-0c8c2c55f8f7,1593734400000,
3013,3987721e-b7e1-44e3-bbb0-79bd1ab66720.binning_data.json,1899202,6000,8,2020-06-29 22:13:15.648,com.sec.android.app.shealth,2020-06-29 22:13:15.648,,1.7777778,2282.53,123.579994,3005,zub8fSqg+I,com.sec.android.app.shealth,0,3987721e-b7e1-44e3-bbb0-79bd1ab66720.achievement.json,3987721e-b7e1-44e3-bbb0-79bd1ab66720,1593388800000,
4453,5345950c-df7a-42be-aaa3-58b6e6f84b0d.binning_data.json,2662933,6000,8,2020-06-20 19:34:18.017,com.sec.android.app.shealth,2020-06-20 02:57:24.390,5345950c-df7a-42be-aaa3-58b6e6f84b0d.source_info.json,1.2824465,3415.07,181.92,4445,VfS0qUERdZ,com.sec.android.app.shealth,0,5345950c-df7a-42be-aaa3-58b6e6f84b0d.achievement.json,5345950c-df7a-42be-aaa3-58b6e6f84b0d,1592611200000,
266,270eb8ed-18fa-40b8-a730-2d9b10bb5417.binning_data.json,166311,6000,0,2020-07-01 22:20:22.119,com.sec.android.app.shealth,2020-07-01 22:20:22.119,,1.8016342,206.04001,11.38,266,zub8fSqg+I,com.sec.android.app.shealth,0,270eb8ed-18fa-40b8-a730-2d9b10bb5417.achievement.json,270eb8ed-18fa-40b8-a730-2d9b10bb5417,1593561600000,
3016,f5b22a10-f985-4db4-b027-7fc2841d266b.binning_data.json,1913610,6000,0,2020-06-24 21:15:01.191,com.sec.android.app.shealth,2020-06-24 10:02:15.795,f5b22a10-f985-4db4-b027-7fc2841d266b.source_info.json,1.1920611,2281.1401,123.729996,3016,VfS0qUERdZ,com.sec.android.app.shealth,0,f5b22a10-f985-4db4-b027-7fc2841d266b.achievement.json,f5b22a10-f985-4db4-b027-7fc2841d266b,1592956800000,
871,ee00f265-25f9-4db9-ba79-5bddeb25be22.binning_data.json,517733,6000,0,2020-07-06 22:04:44.158,com.sec.android.app.shealth,2020-07-06 22:04:44.158,,1.75,664.43,35.77,871,zub8fSqg+I,com.sec.android.app.shealth,0,ee00f265-25f9-4db9-ba79-5bddeb25be22.achievement.json,ee00f265-25f9-4db9-ba79-5bddeb25be22,1593993600000,
2868,2e9575d4-7f28-43ea-bcb8-7e86055b2402.binning_data.json,1664988,6000,0,2020-06-22 20:07:03.186,com.sec.android.app.shealth,2020-06-22 02:50:52.892,2e9575d4-7f28-43ea-bcb8-7e86055b2402.source_info.json,1.326177,2208.07,116.72,2868,VfS0qUERdZ,com.sec.android.app.shealth,0,2e9575d4-7f28-43ea-bcb8-7e86055b2402.achievement.json,2e9575d4-7f28-43ea-bcb8-7e86055b2402,1592784000000,
1065,c9eb02bd-5b26-4a3a-bfff-4be7eccdcb6b.binning_data.json,604175,6000,0,2020-07-02 22:13:54.834,com.sec.android.app.shealth,2020-07-02 22:13:54.834,,1.9722222,815.97003,45.17,1065,zub8fSqg+I,com.sec.android.app.shealth,0,c9eb02bd-5b26-4a3a-bfff-4be7eccdcb6b.achievement.json,c9eb02bd-5b26-4a3a-bfff-4be7eccdcb6b,1593648000000,
894,f7c3a438-3bb7-4ea6-a469-f8977f3230e1.binning_data.json,481024,6000,0,2020-07-09 22:00:01.921,com.sec.android.app.shealth,2020-07-09 22:00:01.921,,1.7222221,702.72,36.09,894,zub8fSqg+I,com.sec.android.app.shealth,0,f7c3a438-3bb7-4ea6-a469-f8977f3230e1.achievement.json,f7c3a438-3bb7-4ea6-a469-f8977f3230e1,1594252800000,
1243,5a442f1a-029a-4c17-b6a1-76b8ed4ef5cf.binning_data.json,742364,6000,0,2020-07-04 22:00:00.516,com.sec.android.app.shealth,2020-07-04 22:00:00.516,,1.6666665,952.55,51.59,1243,zub8fSqg+I,com.sec.android.app.shealth,0,5a442f1a-029a-4c17-b6a1-76b8ed4ef5cf.achievement.json,5a442f1a-029a-4c17-b6a1-76b8ed4ef5cf,1593820800000,
1232,73a0f830-6271-447a-bd1e-f521c985d0fc.binning_data.json,694533,6000,164,2020-06-23 18:42:58.802,com.sec.android.app.shealth,2020-06-23 05:32:44.758,73a0f830-6271-447a-bd1e-f521c985d0fc.source_info.json,1.4700365,1020.99,60.18,1068,VfS0qUERdZ,com.sec.android.app.shealth,0,73a0f830-6271-447a-bd1e-f521c985d0fc.achievement.json,73a0f830-6271-447a-bd1e-f521c985d0fc,1592870400000,
140,ba3495cc-83ea-4536-9d22-e0beb48de867.binning_data.json,93350,6000,0,2020-07-05 22:00:00.652,com.sec.android.app.shealth,2020-07-05 22:00:00.652,,1.5712818,104.98,5.87,140,zub8fSqg+I,com.sec.android.app.shealth,0,ba3495cc-83ea-4536-9d22-e0beb48de867.achievement.json,ba3495cc-83ea-4536-9d22-e0beb48de867,1593907200000,
821,c21bb85d-3611-4ede-b0f8-db386b408607.binning_data.json,458116,6000,0,2020-06-27 13:16:11.135,com.sec.android.app.shealth,2020-06-27 06:47:21.040,c21bb85d-3611-4ede-b0f8-db386b408607.source_info.json,1.3924419,637.9,33.719997,821,VfS0qUERdZ,com.sec.android.app.shealth,0,c21bb85d-3611-4ede-b0f8-db386b408607.achievement.json,c21bb85d-3611-4ede-b0f8-db386b408607,1593216000000,
1610,ed9210d0-d889-4849-bab8-596dc9b0181e.binning_data.json,917413,6000,0,2020-07-12 22:40:35.282,com.sec.android.app.shealth,2020-07-12 22:40:35.282,,1.3483994,1237.04,65.8,1610,zub8fSqg+I,com.sec.android.app.shealth,0,ed9210d0-d889-4849-bab8-596dc9b0181e.achievement.json,ed9210d0-d889-4849-bab8-596dc9b0181e,1594512000000,
2769,a42d7a98-19ca-40af-a033-6d87fa79deb0.binning_data.json,1500238,6000,0,2020-06-26 22:17:40.798,com.sec.android.app.shealth,2020-06-25 22:00:45.729,,1.7222222,2156.02,113.84,2769,zub8fSqg+I,com.sec.android.app.shealth,0,a42d7a98-19ca-40af-a033-6d87fa79deb0.achievement.json,a42d7a98-19ca-40af-a033-6d87fa79deb0,1593129600000,
2761,463e4776-b612-4afa-8e01-661d14119b0e.binning_data.json,1570644,6000,28,2020-06-25 21:10:30.480,com.sec.android.app.shealth,2020-06-25 03:02:50.865,463e4776-b612-4afa-8e01-661d14119b0e.source_info.json,1.3526037,2124.46,118.08,2733,VfS0qUERdZ,com.sec.android.app.shealth,0,463e4776-b612-4afa-8e01-661d14119b0e.achievement.json,463e4776-b612-4afa-8e01-661d14119b0e,1593043200000,
1091,5f2b686b-8e5b-4cd5-bd4b-68393fb39b54.binning_data.json,675256,6000,0,2020-07-08 22:12:39.348,com.sec.android.app.shealth,2020-07-08 22:12:39.348,,1.6111112,835.14,45.57,1091,zub8fSqg+I,com.sec.android.app.shealth,0,5f2b686b-8e5b-4cd5-bd4b-68393fb39b54.achievement.json,5f2b686b-8e5b-4cd5-bd4b-68393fb39b54,1594166400000,
1786,dee2580b-1ada-433f-87eb-11cbb5f78fba.binning_data.json,1129267,6000,0,2020-07-07 22:00:00.730,com.sec.android.app.shealth,2020-07-07 22:00:00.730,,1.9854393,1364.1,74.15,1786,zub8fSqg+I,com.sec.android.app.shealth,0,dee2580b-1ada-433f-87eb-11cbb5f78fba.achievement.json,dee2580b-1ada-433f-87eb-11cbb5f78fba,1594080000000,
1732,c39ba229-3baf-46c0-80aa-805de0243721.binning_data.json,1058204,6000,0,2020-07-15 22:48:03.651,com.sec.android.app.shealth,2020-07-15 22:48:03.651,,1.2556647,1328.75,72.79,1732,zub8fSqg+I,com.sec.android.app.shealth,0,c39ba229-3baf-46c0-80aa-805de0243721.achievement.json,c39ba229-3baf-46c0-80aa-805de0243721,1594771200000,
