
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
25177,4,0,45,2022-05-22 03:32:00.000,230002,,2022-05-22 03:35:01.097,2022-05-22 03:35:01.097,45,1.3611112,34.27,1.79,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:32:59.999,1c9b57d7-f8a7-d7dc-3399-b66d32dbe840,
11783,4,0,17,2022-05-22 13:10:00.000,230002,,2022-05-22 13:11:12.296,2022-05-22 13:10:34.672,17,1.0896984,12.84,0.701,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 13:10:59.999,67f6e315-30b0-daaa-ebf3-7f1a915f842c,
6517,4,0,11,2022-05-22 03:37:00.000,230002,,2022-05-22 03:45:00.387,2022-05-22 03:45:00.387,11,1.3333334,8.69,0.44,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:37:59.999,711264f3-45a2-1546-53f1-c0039da8c928,
37072,4,0,65,2022-05-22 13:21:00.000,,,2022-05-22 13:29:14.588,2022-05-22 13:29:14.588,65,1.3333334,49.43,2.59,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 13:22:00.000,31eefcb1-e37c-46db-9a8a-89530fe53bd7,
6354,4,0,10,2022-05-22 03:47:00.000,230002,,2022-05-22 03:55:01.208,2022-05-22 03:55:01.208,10,1.1944444,7.59,0.4,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:47:59.999,542a83b0-cff1-96e4-98ca-63ab1895e1fa,
18584,4,0,32,2022-05-22 08:31:00.000,230002,,2022-05-22 08:32:54.367,2022-05-22 08:31:40.315,32,1.3258678,24.64,1.31,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:31:59.999,6640b4e6-59ea-78f1-86df-51e1650eb4f7,
39218,4,0,61,2022-05-22 13:29:00.000,,,2022-05-22 13:34:43.315,2022-05-22 13:29:14.907,61,1.1479381,45.02,2.44,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 13:30:00.000,3fc51c5a-652f-4de6-b129-28c8702fc9f2,
41289,4,0,62,2022-05-22 13:35:00.000,,,2022-05-22 13:49:12.180,2022-05-22 13:35:08.327,62,1.1014885,45.48,2.4799998,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 13:36:00.000,243a2958-be7a-491b-929c-f47c9e25aad6,
9349,4,0,12,2022-05-22 03:58:00.000,230002,,2022-05-22 04:15:01.141,2022-05-22 04:15:01.141,12,0.9166667,8.57,0.51,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:58:59.999,43ce7aa9-a0ad-2518-b40c-007c3572326c,
4125,4,0,12,2022-05-22 08:59:00.000,230002,,2022-05-22 09:00:02.507,2022-05-22 09:00:02.507,12,2.4166667,9.97,0.35,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:59:59.999,8c097965-77b6-af50-33b4-d547fd2eba8d,
41157,4,0,65,2022-05-22 13:32:00.000,230002,,2022-05-22 13:34:28.432,2022-05-22 13:34:28.432,65,1.1944444,49.16,2.72,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 13:32:59.999,a01cce0f-260a-335a-7e68-47ce975b7ec3,
39115,4,0,69,2022-05-22 07:41:00.000,230002,,2022-05-22 07:42:38.334,2022-05-22 07:42:38.334,69,1.3611112,53.24,2.79,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:41:59.999,2d8395ca-0004-c56c-a9b5-b5764a691f57,
51410,4,0,85,2022-05-22 13:39:00.000,230002,,2022-05-22 13:39:57.290,2022-05-22 13:39:14.317,85,1.2659179,65.081,3.411,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 13:39:59.999,3f224283-6275-4415-9bcf-c46d778c8e90,
23230,4,0,43,2022-05-22 03:54:00.000,230002,,2022-05-22 03:55:01.235,2022-05-22 03:55:01.235,43,1.4722222,34.2,1.67,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 03:54:59.999,26f2a54c-17fb-3005-6132-21a1fde318a4,
44496,4,0,75,2022-05-22 13:45:00.000,230002,,2022-05-22 13:47:15.396,2022-05-22 13:45:25.440,75,1.292904,57.53,2.99,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 13:45:59.999,0a0fa111-51ab-4cb2-f1c1-eace7d33a33d,
16119,4,0,28,2022-05-22 07:53:00.000,230002,,2022-05-22 07:53:59.409,2022-05-22 07:53:05.115,28,1.3433852,21.655,1.08,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:53:59.999,6546562e-9c5e-48e8-ff89-c48de71f363c,
14807,4,0,28,2022-05-22 09:18:00.000,230002,,2022-05-22 09:26:33.352,2022-05-22 09:26:33.352,28,1.4722222,21.8,1.09,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:18:59.999,7cd52e51-c62e-9b91-5e58-b7fc069a9303,
6016,4,0,11,2022-05-22 07:35:00.000,230002,,2022-05-22 07:37:13.248,2022-05-22 07:37:13.247,11,1.4444444,8.69,0.44,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 07:35:59.999,62e47e43-d644-e292-ec1d-03874eb8fafe,
10121,4,0,16,2022-05-22 13:42:00.000,,,2022-05-22 13:49:12.616,2022-05-22 13:49:12.616,16,1.1944444,12.09,0.62,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 13:43:00.000,bdb86b9b-35ae-4bb2-bb97-4b4e5f6aa2ab,
12634,4,0,23,2022-05-22 08:30:00.000,230002,,2022-05-22 08:31:40.290,2022-05-22 08:31:40.290,23,1.4444444,18.25,0.92,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:30:59.999,3c8ccb09-9e9e-aef8-394c-f20430297b65,
58844,4,0,103,2022-05-22 13:52:00.000,,,2022-05-22 13:55:02.604,2022-05-22 13:55:02.604,103,1.3333334,78.46,4.11,UTC+0200,zub8fSqg+I,com.sec.android.app.shealth,2022-05-22 13:53:00.000,b8a46b55-b358-44ce-b026-a4aa8b34dbd1,
14329,4,0,24,2022-05-22 09:36:00.000,230002,,2022-05-22 09:38:32.359,2022-05-22 09:38:32.359,24,1.2777778,18.31,0.99,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 09:36:59.999,91e83de3-a757-07fd-e6e0-76c187e91de7,
10283,4,0,19,2022-05-22 13:51:00.000,230002,,2022-05-22 13:55:01.173,2022-05-22 13:55:01.173,19,1.4722222,15.14,0.74,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 13:51:59.999,2479af9d-52da-95d3-17ef-8e85080eb937,
7156,4,0,10,2022-05-22 08:55:00.000,230002,,2022-05-22 08:55:02.474,2022-05-22 08:55:02.474,10,1.0,7.156,0.4,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 08:55:59.999,ddedd402-0c22-6b65-77c7-ca18ad1df05b,
4335,4,0,10,2022-05-22 13:59:00.000,230002,,2022-05-22 14:01:04.986,2022-05-22 14:01:04.986,10,1.9166666,8.31,0.36,UTC+0200,2RI+3qlzEN,com.sec.android.app.shealth,2022-05-22 13:59:59.999,44a2ee23-3086-9507-594e-afa8fbaa5e07,
