20,Application Engineer für Log-Management (m/w/d),vor 2 Tagen,Atruvia AG,Münster,"Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. * Schwerpunkte deiner Tätigkeit sind unter anderem die Entwicklung der Log-Management-Frameworks, die Koordination und Beratung von Anforderungen an das Log-Management sowie die Administration, Konfiguration und Weiterentwicklung unserer Log-Management- und Machine-Solutions Splunk und Graylog unter Linux.",https://www.stepstone.de/stellenangebote--Application-Engineer-fuer-Log-Management-m-w-d-Muenster-Atruvia-AG--8997153-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
21,Cyber Defense Engineer - Network Security (m/w/d),vor 2 Tagen,Riverty Services GmbH,"Karlsruhe, München, Münster",Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß.,https://www.stepstone.de/stellenangebote--Cyber-Defense-Engineer-Network-Security-m-w-d-Karlsruhe-Muenchen-Muenster-Atruvia-AG--8786113-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
22,Process Manager (Personal Finance) (m/f/d),vor 2 Tagen,Atruvia AG,"Baden-Baden, Verl, Berlin, Wien, Amsterdam, Stockholm, Glasgow","You have the willingness to also work as a Test Engineer and with respective tools like Jira/Xray and Confluence * Focus of a Junior Process Manager: You have the willingness to familiarize yourself with the test tool Jira Xray, create and document test cases, test and test executions and coordinate and handle defects within the product development process",https://www.stepstone.de/stellenangebote--Process-Manager-Personal-Finance-m-f-d-Baden-Baden-Verl-Berlin-Wien-Amsterdam-Stockholm-Glasgow-Riverty-Services-GmbH--9334922-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
23,Cyber Defense Engineer Container-Security (m/w/d),vor 2 Tagen,Ernsting’s family,"Karlsruhe, München, Münster","Dabei nutzen wir zukunftsweisende Technologien wie Smart Data und schreiben Prozessoptimierung und Regulatorik groß. * Du entwickelst unter Einsatz modernster Technologien Methoden und Systeme zur effektiven und effizienten Korrelation sowie zur Analyse relevanter Information, wie z. B. verdächtige Verhaltensmuster in einem Big-Umfeld.",https://www.stepstone.de/stellenangebote--Cyber-Defense-Engineer-Container-Security-m-w-d-Karlsruhe-Muenchen-Muenster-Atruvia-AG--9197759-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
24,Senior Data Scientist (gn*) mit Schwerpunkt Wirtschaftsinformatik,vor 2 Tagen,,Coesfeld-Lette bei Münster,"Für unsere Unternehmenszentrale in Coesfeld-Lette bei Münster suchen wir einen Senior Data Scientist (gn*) mit Schwerpunkt Wirtschaftsinformatik * Die Entwicklung maßgeschneiderter Science-Produkte in fachbereichsübergreifenden Teams, z. B. gemeinsam mit der Logistik oder dem Vertrieb * Du gestaltest den Aufbau der Science-Architektur maßgeblich mit * Die maßgebliche Gestaltung der Weiterentwicklung unserer Big und Science-Architektur auf Azure * In den Science-Projekten unserer Abteilungen übernimmst Du eigenverantwortlich die Projektleitung * Die Verantwortung automatisierte Science-Prozesse zu implementieren * Die Möglichkeit das Science Umfeld aktiv mitzugestalten * Anwendungsmöglichkeiten im",https://www.stepstone.de/stellenangebote--Senior-Data-Scientist-gn-mit-Schwerpunkt-Wirtschaftsinformatik-Coesfeld-Lette-bei-Muenster-Ernstings-family--8272749-inline.html,stepstone,2023-03-17 11:40:18,Data Engineer
0,Senior Data Engineer (m/w/d),Gerade eben,Goodman Masson GmbH,Holzwickede,"Data Engineer (m/w/d)"" in unbefristeter Festanstellung und in der Direktvermittlung.",https://www.xing.com/jobs/holzwickede-senior-data-engineer-98467522,xing,2023-03-17 11:40:48,Data Engineer
1,"IT Security Engineer | Linux, Windows | bis. 80.000€ p.a. | 100% Home-Office mögl. (mwd)",Vor 20 Stunden,Vesterling AG,Dortmund,"oder einer vergleichbar geeigneten Fachrichtung Interesse oder Berufserfahrung im Bereich der IT-Security Themen wie Firewalls, Antivirus / Antispam, IDS / IPS, Data",https://www.xing.com/jobs/dortmund-it-security-engineer-linux-windows-80-000-100-home-office-moegl-mwd-98436349,xing,2023-03-17 11:40:48,Data Engineer
2,"DevOps Profi | LINUX, Docker, Kubernetes, ansible, puppet, Terraform, Vagrant | Inhouse (mwd)",Vor 22 Stunden,Vesterling AG,Dortmund,"KVM und Container-Technologien (Docker, LXC) Erfahrungen und Kenntnisse im cloud-affinen skalierten Produktivbetrieb für Software-Entwicklung, AI-Modelling, Big Data",https://www.xing.com/jobs/dortmund-devops-profi-linux-docker-kubernetes-ansible-puppet-terraform-vagrant-inhouse-mwd-98426988,xing,2023-03-17 11:40:48,Data Engineer
3,Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d),Gestern,Campusjäger by Workwise,Dortmund,Wir suchen zum nächstmöglichen Zeitpunkt Verstärkung für unser Jobangebot Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d).,https://www.xing.com/jobs/dortmund-data-engineer-python-planerai-kundenservice-home-office-98395845,xing,2023-03-17 11:40:48,Data Engineer
4,Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d),Gestern,Campusjäger by Workwise,Bochum,Wir suchen zum nächstmöglichen Zeitpunkt Verstärkung für unser Jobangebot Data Engineer - Python / PlanerAI / Kundenservice / Home Office (m/w/d).,https://www.xing.com/jobs/bochum-data-engineer-python-planerai-kundenservice-home-office-98396103,xing,2023-03-17 11:40:48,Data Engineer
